Title,Price,Region,Bedrooms,Floor Area,Lot Area,URL,Image Link,Barangay,Town/City,Longitude,Latitude,price_per_sqm,id,Price_log
"10% DP (₱ 1,130,000.00) LIPAT AGAD    !!Ready for Occupancy!!",11300000,Metro Manila,4,220,121,https://www.lamudi.com.ph/10-dp-1-130-000-00-lipat-agad-ready-for-occupancy-168335571117.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/393004c416a09e.webp,Pilar,Las Piñas,121.01301,14.42922,93388.42975206612,10562,16.240313283682568
"5 Bedrooms Brand New Design House in BF Resort Village, Las Piñas City",14000000,Metro Manila,5,225,137,https://www.lamudi.com.ph/5-bedrooms-brand-new-design-house-in-bf-resort-vil-168123149734.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/707b9367daa669.webp,Talon Uno,Las Piñas,120.987165,14.446596,102189.7810218978,10562,16.454567887579532
"For Sale 5 Bedrooms Single Brand New House in BF Resort Village, Las Piñas City",16000000,Metro Manila,5,250,204,https://www.lamudi.com.ph/for-sale-5-bedrooms-single-brand-new-house-in-bf-r-16818159401.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/0c28ff4e0aa577.webp,Talon Dos,Las Piñas,120.985214,14.438526,78431.37254901961,10562,16.588099280204055
"For Sale Brand New Modern Designed Duplex House in Bf Homes, Parañaque City",18300000,Metro Manila,4,250,158,https://www.lamudi.com.ph/well-maintained-two-storey-townhouse-for-sale-in-bf-homes-paranaque.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/66a2d892bc9ec6.webp,B.F. Homes,Parañaque,121.0245799,14.4521766,115822.78481012658,10562,16.722411617811648
3 BR Single Attached House and Lot in BF Resort Village Las Piñas City,23000000,Metro Manila,3,255,185,https://www.lamudi.com.ph/3-br-single-attached-house-and-lot-in-bf-resort-village-las-pinas-city.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c36b2f4fb94723.webp,Talon Dos,Las Piñas,120.985214,14.438526,124324.32432432432,10562,16.951004773893423
"Affordable Duplex House and Lot for sale in Katarungan Village, Muntinlupa City",4650000,Metro Manila,3,84,50,https://www.lamudi.com.ph/affordable-duplex-house-and-lot-for-sale-in-kataru-168323079386.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/7417d7eac2752e.webp,Poblacion,Muntinlupa,121.029033,14.385411,93000.0,10562,15.35237777756354
Spacious Bungalow House and Lot for Sale in BF Almanza Las Piñas City,17000000,Metro Manila,4,200,285,https://www.lamudi.com.ph/spacious-bungalow-house-and-lot-for-sale-in-bf-alm-168135218717.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/8a76d0db66cca9.webp,Almanza Dos,Las Piñas,121.0078767,14.4023926,59649.12280701754,10562,16.64872390202049
"Newly Built With Modern Design Bungalow House in BF Resort, Las Piñas City",11500000,Metro Manila,4,120,180,https://www.lamudi.com.ph/newly-built-with-modern-design-bungalow-house-in-b-168371591929.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/497bd46695dc5e.webp,Talon Dos,Las Piñas,120.985214,14.438526,63888.88888888889,10562,16.25785759333348
IMPRESSIVE LAY OUT HOUSE IN PHIL-AM VILLAGE WITH SWIMMING POOL LAS PINAS CITY,53800000,Metro Manila,5,355,782,https://www.lamudi.com.ph/impressive-lay-out-house-in-phil-am-village-with-s-168422247463.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/cfb85a0493e12f.webp,Talon Dos,Las Piñas,120.985214,14.438526,68797.95396419437,10562,17.800784025132014
10-20% Down payment payable in 12 months- 3 storey townhouse for sale,11600000,Metro Manila,5,199,112,https://www.lamudi.com.ph/10-20-down-payment-payable-in-12-months-3-storey-t-167647053718.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a5ffd679c57b93.webp,Almanza Dos,Las Piñas,121.01709,14.42628,103571.42857142857,10562,16.266515656076592
"Brand New Single House and Lot in Betterliving, Paranaque City For Sale",23500000,Metro Manila,5,350,253,https://www.lamudi.com.ph/brand-new-single-house-and-lot-in-betterliving-par-168250440861.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/194452ec665862.webp,Don Bosco,Parañaque,121.024909,14.482705,92885.37549407117,10562,16.972510979114386
ELEGANT DESIGN SPACIOUS DUPLEX HOUSE IN BF RESORT VILLAGE LAS PINAS CITY. jr,10800000,Metro Manila,4,190,102,https://www.lamudi.com.ph/elegant-design-spacious-duplex-house-in-bf-resort-16812637541.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b79d5123a66fb5.webp,Talon Uno,Las Piñas,120.987165,14.446596,105882.35294117648,10562,16.195056692094447
5 bedrooms with brand new design in pilar village las pinas near sm southmall,11300000,Metro Manila,4,220,87,https://www.lamudi.com.ph/5-bedrooms-with-brand-new-design-in-pilar-village-168179580689.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/daf66eacccade1.webp,Pilar,Las Piñas,121.0080137,14.417168,129885.05747126436,10562,16.240313283682568
5 BEDROOMS BRAND NEW DESIGN HOUSE IN BF RESORT VILLAGE LAS PINAS CITY,14000000,Metro Manila,4,225,137,https://www.lamudi.com.ph/5-bedrooms-brand-new-design-house-in-bf-resort-vil-168232790482.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/13867bdb707bb3.webp,Talon Dos,Las Piñas,120.985214,14.438526,102189.7810218978,10562,16.454567887579532
Elegant Single Detached House in BF Resort Village Las Piñas City,15000000,Metro Manila,3,210,111,https://www.lamudi.com.ph/elegant-single-detached-house-in-bf-resort-village-168248247959.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b71648fe095bfa.webp,Talon Uno,Las Piñas,120.985214,14.438526,135135.13513513515,10562,16.523560759066484
For Sale Spacious 2 Storey Townhouse near in Robinson Las Piñas City,3900000,Metro Manila,2,80,55,https://www.lamudi.com.ph/for-sale-spacious-2-storey-townhouse-near-in-robin-167599507399.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/0f2a808a4b707b.webp,Talon Kuatro,Las Piñas,120.9997847,14.4371254,70909.09090909091,10562,15.176487111099874
